id,completion_date,partner_name,deal_type,review_type,escalation_type,EDD_reviewer,EDD_measures,timestamp
1,01-01-2023,Partner A,imt,fresh_onboarding,other_red_flags,neelima_routhu,document_review,01-01-2023 10:00
10,10-01-2023,Partner J,payments,periodic_review,other_red_flags,rohan_vazapully,aml_review,10-01-2023 19:00
11,11-01-2023,Partner K,issuance,fresh_onboarding,adverse_media,rahil_fw,audit_review,11-01-2023 10:00
12,12-01-2023,Partner L,vendor,periodic_review,high_risk,moustapha,feedback_review,12-01-2023 11:00
13,13-01-2023,Partner M,imt,fresh_onboarding,pep_association,laura_castillo,document_review,13-01-2023 12:00
14,14-01-2023,Partner N,payments,periodic_review,country_risk,hityshi,aml_review,14-01-2023 13:00
15,15-01-2023,Partner O,issuance,fresh_onboarding,complex_ownership,neelima_routhu,audit_review,15-01-2023 14:00
16,16-01-2023,Partner P,vendor,periodic_review,young_company,francis_xavier,feedback_review,16-01-2023 15:00
17,17-01-2023,Partner Q,imt,fresh_onboarding,medium_risk,rohan_vazapully,document_review,17-01-2023 16:00
18,18-01-2023,Partner R,payments,periodic_review,feedback_review,rahil_fw,aml_review,18-01-2023 17:00
19,19-01-2023,Partner S,issuance,fresh_onboarding,other_red_flags,moustapha,audit_review,19-01-2023 18:00
2,02-01-2023,Partner B,payments,periodic_review,adverse_media,francis_xavier,aml_review,02-01-2023 11:00
20,20-01-2023,Partner T,vendor,periodic_review,adverse_media,laura_castillo,feedback_review,20-01-2023 19:00
21,21-01-2023,Partner U,imt,fresh_onboarding,high_risk,hityshi,document_review,21-01-2023 10:00
22,22-01-2023,Partner V,payments,periodic_review,pep_association,neelima_routhu,aml_review,22-01-2023 11:00
23,23-01-2023,Partner W,issuance,fresh_onboarding,country_risk,francis_xavier,audit_review,23-01-2023 12:00
24,24-01-2023,Partner X,vendor,periodic_review,complex_ownership,rohan_vazapully,feedback_review,24-01-2023 13:00
25,25-01-2023,Partner Y,imt,fresh_onboarding,young_company,rahil_fw,document_review,25-01-2023 14:00
26,26-01-2023,Partner Z,payments,periodic_review,medium_risk,moustapha,aml_review,26-01-2023 15:00
27,27-01-2023,Partner AA,issuance,fresh_onboarding,feedback_review,laura_castillo,audit_review,27-01-2023 16:00
28,28-01-2023,Partner BB,vendor,periodic_review,other_red_flags,hityshi,feedback_review,28-01-2023 17:00
29,29-01-2023,Partner CC,imt,fresh_onboarding,adverse_media,neelima_routhu,document_review,29-01-2023 18:00
3,03-01-2023,Partner C,issuance,fresh_onboarding,high_risk,rohan_vazapully,audit_review,03-01-2023 12:00
30,30-01-2023,Partner DD,payments,periodic_review,high_risk,francis_xavier,aml_review,30-01-2023 19:00
300,27-10-2023,Partner CCC,vendor,periodic_review,complex_ownership,neelima_routhu,document_review,27-10-2023 11:00
301,14-03-2023,Partner RRR,imt,fresh_onboarding,young_company,neelima_routhu,document_review,14-03-2023 12:00
302,15-03-2023,Partner SSS,payments,periodic_review,medium_risk,francis_xavier,aml_review,15-03-2023 13:00
303,16-03-2023,Partner TTT,issuance,fresh_onboarding,feedback_review,rohan_vazapully,audit_review,16-03-2023 14:00
304,17-03-2023,Partner UUU,vendor,periodic_review,other_red_flags,rahil_fw,feedback_review,17-03-2023 15:00
305,18-03-2023,Partner VVV,imt,fresh_onboarding,adverse_media,moustapha,document_review,18-03-2023 16:00
306,19-03-2023,Partner WWW,payments,periodic_review,high_risk,laura_castillo,aml_review,19-03-2023 17:00
307,20-03-2023,Partner XXX,issuance,fresh_onboarding,pep_association,hityshi,audit_review,20-03-2023 18:00
308,21-03-2023,Partner YYY,vendor,periodic_review,country_risk,neelima_routhu,feedback_review,21-03-2023 19:00
309,22-03-2023,Partner ZZZ,imt,fresh_onboarding,complex_ownership,francis_xavier,document_review,22-03-2023 10:00
31,31-01-2023,Partner EE,issuance,fresh_onboarding,pep_association,rohan_vazapully,audit_review,31-01-2023 10:00
310,23-03-2023,Partner AAAA,payments,periodic_review,young_company,rohan_vazapully,aml_review,23-03-2023 11:00
311,24-03-2023,Partner BBBB,issuance,fresh_onboarding,medium_risk,rahil_fw,audit_review,24-03-2023 12:00
312,25-03-2023,Partner CCCC,vendor,periodic_review,feedback_review,moustapha,feedback_review,25-03-2023 13:00
313,26-03-2023,Partner DDDD,imt,fresh_onboarding,other_red_flags,laura_castillo,document_review,26-03-2023 14:00
314,27-03-2023,Partner EEEE,payments,periodic_review,adverse_media,hityshi,aml_review,27-03-2023 15:00
315,28-03-2023,Partner FFFF,issuance,fresh_onboarding,high_risk,neelima_routhu,audit_review,28-03-2023 16:00
316,29-03-2023,Partner GGGG,vendor,periodic_review,pep_association,francis_xavier,feedback_review,29-03-2023 17:00
317,30-03-2023,Partner HHHH,imt,fresh_onboarding,country_risk,rohan_vazapully,document_review,30-03-2023 18:00
318,31-03-2023,Partner IIII,payments,periodic_review,complex_ownership,rahil_fw,aml_review,31-03-2023 19:00
319,01-04-2023,Partner JJJJ,issuance,fresh_onboarding,young_company,moustapha,audit_review,01-04-2023 10:00
320,02-04-2023,Partner KKKK,vendor,periodic_review,medium_risk,laura_castillo,feedback_review,02-04-2023 11:00
321,03-04-2023,Partner LLLL,imt,fresh_onboarding,,neelima_routhu,document_review,03-04-2023 12:00
322,04-04-2023,Partner MMMM,payments,periodic_review,medium_risk,francis_xavier,,04-04-2023 13:00
323,05-04-2023,Partner NNNN,issuance,fresh_onboarding,,rohan_vazapully,audit_review,05-04-2023 14:00
324,06-04-2023,Partner OOOO,vendor,periodic_review,other_red_flags,rahil_fw,,06-04-2023 15:00
325,07-04-2023,Partner PPPP,imt,fresh_onboarding,,moustapha,document_review,07-04-2023 16:00
326,08-04-2023,Partner QQQQ,payments,periodic_review,adverse_media,laura_castillo,,08-04-2023 17:00
327,09-04-2023,Partner RRRR,issuance,fresh_onboarding,,hityshi,audit_review,09-04-2023 18:00
328,10-04-2023,Partner SSSS,vendor,periodic_review,high_risk,neelima_routhu,,10-04-2023 19:00
329,11-04-2023,Partner TTTT,imt,fresh_onboarding,,francis_xavier,document_review,11-04-2023 10:00
330,12-04-2023,Partner UUUU,payments,periodic_review,pep_association,rohan_vazapully,,12-04-2023 11:00
331,13-04-2023,Partner VVVV,issuance,fresh_onboarding,,rahil_fw,aml_review,13-04-2023 12:00
332,14-04-2023,Partner WWWW,vendor,periodic_review,country_risk,moustapha,,14-04-2023 13:00
333,15-04-2023,Partner XXXX,imt,fresh_onboarding,,laura_castillo,feedback_review,15-04-2023 14:00
334,16-04-2023,Partner YYYY,payments,periodic_review,complex_ownership,hityshi,,16-04-2023 15:00
335,17-04-2023,Partner ZZZZ,issuance,fresh_onboarding,,neelima_routhu,document_review,17-04-2023 16:00
336,18-04-2023,Partner AAAA1,vendor,periodic_review,young_company,francis_xavier,,18-04-2023 17:00
337,19-04-2023,Partner BBBB1,imt,fresh_onboarding,,rohan_vazapully,aml_review,19-04-2023 18:00
338,20-04-2023,Partner CCCC1,payments,periodic_review,medium_risk,rahil_fw,,20-04-2023 19:00
339,21-04-2023,Partner DDDD1,issuance,fresh_onboarding,,moustapha,audit_review,21-04-2023 10:00
340,22-04-2023,Partner EEEE1,vendor,periodic_review,feedback_review,laura_castillo,,22-04-2023 11:00
341,23-04-2023,Partner FFFF1,imt,fresh_onboarding,,hityshi,document_review,23-04-2023 12:00
342,24-04-2023,Partner GGGG1,payments,periodic_review,other_red_flags,neelima_routhu,,24-04-2023 13:00
343,25-04-2023,Partner HHHH1,issuance,fresh_onboarding,,francis_xavier,aml_review,25-04-2023 14:00
344,26-04-2023,Partner IIII1,vendor,periodic_review,adverse_media,rohan_vazapully,,26-04-2023 15:00
345,27-04-2023,Partner JJJJ1,imt,fresh_onboarding,,rahil_fw,audit_review,27-04-2023 16:00
346,28-04-2023,Partner KKKK1,payments,periodic_review,high_risk,moustapha,,28-04-2023 17:00
347,29-04-2023,Partner LLLL1,issuance,fresh_onboarding,,laura_castillo,feedback_review,29-04-2023 18:00
348,30-04-2023,Partner MMMM1,vendor,periodic_review,pep_association,hityshi,,30-04-2023 19:00
349,01-05-2023,Partner NNNN1,imt,fresh_onboarding,,neelima_routhu,document_review,01-05-2023 10:00
35,04-02-2023,Partner FF,imt,fresh_onboarding,country_risk,neelima_routhu,document_review,04-02-2023 14:00
350,02-05-2023,Partner OOOO1,payments,periodic_review,country_risk,francis_xavier,,02-05-2023 11:00
36,05-02-2023,Partner GG,payments,periodic_review,complex_ownership,francis_xavier,aml_review,05-02-2023 15:00
37,06-02-2023,Partner HH,issuance,fresh_onboarding,young_company,rohan_vazapully,audit_review,06-02-2023 16:00
38,07-02-2023,Partner II,vendor,periodic_review,medium_risk,rahil_fw,feedback_review,07-02-2023 17:00
39,08-02-2023,Partner JJ,imt,fresh_onboarding,feedback_review,moustapha,document_review,08-02-2023 18:00
4,04-01-2023,Partner D,vendor,periodic_review,pep_association,rahil_fw,feedback_review,04-01-2023 13:00
40,09-02-2023,Partner KK,payments,periodic_review,other_red_flags,laura_castillo,aml_review,09-02-2023 19:00
41,10-02-2023,Partner LL,issuance,fresh_onboarding,adverse_media,hityshi,audit_review,10-02-2023 10:00
42,11-02-2023,Partner MM,vendor,periodic_review,high_risk,neelima_routhu,feedback_review,11-02-2023 11:00
43,12-02-2023,Partner NN,imt,fresh_onboarding,pep_association,francis_xavier,document_review,12-02-2023 12:00
44,13-02-2023,Partner OO,payments,periodic_review,country_risk,rohan_vazapully,aml_review,13-02-2023 13:00
45,14-02-2023,Partner PP,issuance,fresh_onboarding,complex_ownership,rahil_fw,audit_review,14-02-2023 14:00
46,15-02-2023,Partner QQ,vendor,periodic_review,young_company,moustapha,feedback_review,15-02-2023 15:00
47,16-02-2023,Partner RR,imt,fresh_onboarding,medium_risk,laura_castillo,document_review,16-02-2023 16:00
48,17-02-2023,Partner SS,payments,periodic_review,feedback_review,hityshi,aml_review,17-02-2023 17:00
49,18-02-2023,Partner TT,issuance,fresh_onboarding,other_red_flags,neelima_routhu,audit_review,18-02-2023 18:00
5,05-01-2023,Partner E,imt,fresh_onboarding,country_risk,moustapha,document_review,05-01-2023 14:00
50,19-02-2023,Partner UU,vendor,periodic_review,adverse_media,francis_xavier,feedback_review,19-02-2023 19:00
51,20-02-2023,Partner VV,imt,fresh_onboarding,high_risk,rohan_vazapully,document_review,20-02-2023 10:00
52,21-02-2023,Partner WW,payments,periodic_review,pep_association,rahil_fw,aml_review,21-02-2023 11:00
53,22-02-2023,Partner XX,issuance,fresh_onboarding,country_risk,moustapha,audit_review,22-02-2023 12:00
54,23-02-2023,Partner YY,vendor,periodic_review,complex_ownership,laura_castillo,feedback_review,23-02-2023 13:00
55,24-02-2023,Partner ZZ,imt,fresh_onboarding,young_company,hityshi,document_review,24-02-2023 14:00
56,25-02-2023,Partner AAA,payments,periodic_review,medium_risk,neelima_routhu,aml_review,25-02-2023 15:00
57,26-02-2023,Partner BBB,issuance,fresh_onboarding,feedback_review,francis_xavier,audit_review,26-02-2023 16:00
58,27-02-2023,Partner CCC,vendor,periodic_review,other_red_flags,rohan_vazapully,feedback_review,27-02-2023 17:00
59,28-02-2023,Partner DDD,imt,fresh_onboarding,adverse_media,rahil_fw,document_review,28-02-2023 18:00
6,06-01-2023,Partner F,payments,periodic_review,complex_ownership,laura_castillo,aml_review,06-01-2023 15:00
60,01-03-2023,Partner EEE,payments,periodic_review,high_risk,moustapha,aml_review,01-03-2023 19:00
61,02-03-2023,Partner FFF,issuance,fresh_onboarding,pep_association,laura_castillo,audit_review,02-03-2023 10:00
62,03-03-2023,Partner GGG,vendor,periodic_review,country_risk,hityshi,feedback_review,03-03-2023 11:00
63,04-03-2023,Partner HHH,imt,fresh_onboarding,complex_ownership,neelima_routhu,document_review,04-03-2023 12:00
64,05-03-2023,Partner III,payments,periodic_review,young_company,francis_xavier,aml_review,05-03-2023 13:00
65,06-03-2023,Partner JJJ,issuance,fresh_onboarding,medium_risk,rohan_vazapully,audit_review,06-03-2023 14:00
